City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,75.13,light rain,-23.1203,-134.9692,People ThankYou
7,Cabo San Lucas,MX,88.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
10,Kapaa,US,81.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Pontianak,ID,76.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
22,Dingle,PH,77.36,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
23,Lazaro Cardenas,MX,82.18,clear sky,17.9583,-102.2,quinta antigua
25,Mabaruma,GY,75.16,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
26,Hilo,US,82.26,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
28,Oriximina,BR,81.45,heavy intensity rain,-1.7656,-55.8661,Pousada Tia Amélia
30,Atuona,PF,77.92,clear sky,-9.8,-139.0333,Villa Enata
35,Carutapera,BR,77.7,scattered clouds,-1.195,-46.02,Lidera
39,Kahului,US,87.06,clear sky,20.8947,-156.47,Maui Seaside Hotel
41,Rurrenabaque,BO,85.05,scattered clouds,-14.4413,-67.5278,Casa de Campo
43,Bonthe,SL,75.6,light rain,7.5264,-12.505,Bonthe Holiday Village
45,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
47,Butaritari,KI,82.27,light rain,3.0707,172.7902,Isles Sunset Lodge
49,Isangel,VU,82.51,clear sky,-19.55,169.2667,Tanna Lodge
52,Noumea,NC,80.58,clear sky,-22.2763,166.4572,Hôtel Le Lagon
61,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
64,Zabid,YE,83.55,broken clouds,14.1951,43.3152,مغرب التريبه
65,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
70,Victoria,HK,75.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
72,Mahina,PF,83.97,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
76,Cururupu,BR,75.27,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
82,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
83,Sao Filipe,CV,79.99,broken clouds,14.8961,-24.4956,Hotel Xaguate
85,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
87,Kavieng,PG,83.95,light rain,-2.5744,150.7967,Nusa Island Retreat
88,Tabou,CI,77.27,overcast clouds,4.423,-7.3528,hotêl doufoulougou
90,Benemerito De Las Americas,MX,75.74,overcast clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
92,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
98,Lhokseumawe,ID,76.24,light rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
99,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
106,Hithadhoo,MV,82.65,moderate rain,-0.6,73.0833,Scoop Guest House
107,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
113,Port Blair,IN,80.47,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
114,Mount Isa,AU,78.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
115,Puerto Escondido,MX,82.6,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
117,Damaturu,NG,82.6,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
118,El Sauce,NI,86.2,overcast clouds,12.8869,-86.539,Hotel Blanco
125,Bowen,AU,82.62,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
127,Santa Fe,AR,88.75,clear sky,-31.6333,-60.7,Conquistador Hotel
128,Sohag,EG,75.49,overcast clouds,26.557,31.6948,Civil Registry - Sohag 1
139,Bac Lieu,VN,79.48,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
143,Villamontes,BO,81.59,broken clouds,-21.25,-63.5,Hotel Raldes
150,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
151,Kieta,PG,81.09,light rain,-6.2167,155.6333,Uruna Bay Retreat
154,Yenagoa,NG,76.39,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
155,Faanui,PF,78.13,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
156,Kudahuvadhoo,MV,82.85,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
166,Omboue,GA,75.69,heavy intensity rain,-1.5746,9.2618,Hotel Olako
169,Hervey Bay,AU,84.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
171,Saint George,US,79.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
173,Coahuayana,MX,84.11,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
174,Namatanai,PG,84.58,light rain,-3.6667,152.4333,Seagulls Inn Namatani
178,Meulaboh,ID,75.31,overcast clouds,4.1363,96.1285,Kost Pria
180,Santa Cruz,BO,87.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
181,Nabire,ID,80.15,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
190,Sinnamary,GF,79.18,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
193,Matadi,CD,77.38,light rain,-5.8167,13.45,Hotel Vivi Palace
202,Karratha,AU,75.06,clear sky,-20.7377,116.8463,ibis Styles Karratha
203,Manggar,ID,81.82,overcast clouds,-2.8833,108.2667,Guest Hotel
207,Sabinas Hidalgo,MX,84.24,clear sky,26.5,-100.1667,Hotel Real Santiago De Las Sabinas
210,Grajau,BR,79.18,broken clouds,-5.8194,-46.1386,Hotel Confiança
212,Francistown,BW,76.98,scattered clouds,-21.17,27.5079,Budget House
220,Bilma,NE,80.78,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
224,Bahia De Caraquez,EC,77.18,few clouds,-0.6,-80.4167,Saiananda
227,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
237,Hirara,JP,75.06,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
248,San Pedro De Macoris,DO,86.61,clear sky,18.4616,-69.2972,Apartahotel Guaraguao
251,Todos Santos,MX,88.02,few clouds,23.45,-110.2167,Hotel California Todos Santos
257,Labuhan,ID,80.37,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
266,Pergamino,AR,86.18,clear sky,-33.89,-60.5736,Hotel Fachinat
268,Sur,OM,79.72,clear sky,22.5667,59.5289,Sur Plaza Hotel
276,Penjamo,MX,75.69,scattered clouds,20.4333,-101.7333,Hotel - San Miguel
279,San Juan,AR,81.32,clear sky,-31.5375,-68.5364,Hotel Provincial
280,Marsh Harbour,BS,77.86,clear sky,26.5412,-77.0636,Abaco Beach Resort
284,Pedernales,DO,81.84,scattered clouds,18.0384,-71.744,Hotel Costa Marina
285,Kilindoni,TZ,78.6,few clouds,-7.9139,39.6668,Bustani B&B
286,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
294,San Patricio,US,86.41,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
296,Garoua,CM,80.65,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
300,Dwarka,IN,79.38,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
302,Chabahar,IR,81.03,clear sky,25.2919,60.643,هتل گدروشیا
309,Waingapu,ID,81.72,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
310,Alibag,IN,82.47,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
311,Tarakan,ID,78.21,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
314,Ixtapa,MX,84.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
315,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
317,Mercedes,AR,82.85,clear sky,-34.6515,-59.4307,Posada del Inti Centro
318,Biak,ID,78.24,overcast clouds,-0.9131,122.8766,Penginapan Kim
319,Iracoubo,GF,79.48,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
325,Hobyo,SO,79.61,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
329,Samarai,PG,83.28,overcast clouds,-10.6167,150.6667,Nuli Sapi
331,Vicuna,CL,83.77,few clouds,-30.0319,-70.7081,Los Mosaicos
334,Concordia,AR,84.78,few clouds,-31.393,-58.0209,Palmar Hotel Casino
336,Yarada,IN,79.12,mist,17.65,83.2667,Vishranti
337,Pangkalanbuun,ID,75.85,light rain,-2.6833,111.6167,Grand Kecubung Hotel
340,Buala,SB,84.49,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
341,Puerto Carreno,CO,79.57,light rain,6.189,-67.4859,Casa Hotel Victoria
346,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
348,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
354,Lorengau,PG,83.19,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
356,Anyama,CI,75.61,light rain,5.4946,-4.0518,Hotel la Residence des Hotes
362,Kalmunai,LK,77.56,overcast clouds,7.4167,81.8167,VS Villa
363,Juchipila,MX,83.3,few clouds,21.4167,-103.1167,HOTEL JARDIN
365,Capim Grosso,BR,76.87,broken clouds,-11.3811,-40.0128,Hotel Veloso
374,Ciudad Guayana,VE,75.2,scattered clouds,8.3533,-62.6528,Hotel Las Americas
375,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
377,Bengkulu,ID,76.01,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
382,Kendari,ID,77.0,scattered clouds,-3.945,122.4989,Hotel Wixel
384,Monywa,MM,75.02,scattered clouds,22.1167,95.1333,Monywa Hotel
385,Gladstone,AU,85.78,broken clouds,-23.85,151.25,Highpoint International
388,Sabang,ID,81.39,overcast clouds,5.8933,95.3214,Hotel Citra
395,Sibolga,ID,76.12,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
406,Jiwani,PK,82.51,few clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
415,Wewak,PG,82.15,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
419,Les Cayes,HT,78.64,broken clouds,18.2,-73.75,Villa Orphee
429,Mazatlan,MX,86.02,clear sky,23.2167,-106.4167,Hotel Playamar
437,Bluefields,NI,80.67,scattered clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
450,Ciudad Bolivar,VE,79.63,light rain,8.1222,-63.5497,Hotel Edi
