City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Torbay,CA,47.6666,-52.7314,41.76,79,20,6.91,few clouds
1,Vaini,TO,-21.2,-175.2,77.16,88,40,9.22,scattered clouds
2,Mataura,NZ,-46.1927,168.8643,49.66,96,100,12.59,light rain
3,Aras,ES,42.5617,-2.356,56.98,100,100,1.14,mist
4,Ushuaia,AR,-54.8,-68.3,51.46,46,0,19.57,clear sky
5,Hobart,AU,-42.8794,147.3294,58.26,60,75,3.0,broken clouds
6,Constitucion,CL,-35.3333,-72.4167,61.09,71,100,13.87,overcast clouds
7,Sao Sebastiao,BR,-23.76,-45.4097,69.4,94,97,9.78,overcast clouds
8,Hermanus,ZA,-34.4187,19.2345,61.9,87,58,8.39,broken clouds
9,Wuzhou,CN,23.4833,111.3167,64.54,96,100,2.01,overcast clouds
10,Zhigansk,RU,66.7697,123.3711,1.0,93,100,20.15,overcast clouds
11,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,89,100,12.3,overcast clouds
12,Sao Felix Do Xingu,BR,-6.6447,-51.995,83.07,55,93,0.89,overcast clouds
13,Dikson,RU,73.5069,80.5464,7.0,91,100,16.35,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,75.02,85,80,21.12,light rain
15,Taltal,CL,-25.4,-70.4833,66.85,60,22,3.22,few clouds
16,San Andres,CO,12.5847,-81.7006,84.22,79,75,13.8,light rain
17,Pisco,PE,-13.7,-76.2167,66.25,77,0,9.22,clear sky
18,Barrow,US,71.2906,-156.7887,17.62,79,90,0.0,overcast clouds
19,Varna,BG,43.2167,27.9167,51.13,82,75,8.05,broken clouds
20,Nikolskoye,RU,59.7035,30.7861,47.01,92,91,7.25,overcast clouds
21,Marystown,CA,47.1666,-55.1483,43.86,100,0,4.45,clear sky
22,Sorland,NO,67.667,12.6934,48.81,90,100,22.35,overcast clouds
23,Klaksvik,FO,62.2266,-6.589,47.32,91,100,12.68,overcast clouds
24,Bethel,US,41.3712,-73.414,59.36,91,75,4.61,broken clouds
25,Castro,BR,-24.7911,-50.0119,61.92,93,86,8.93,overcast clouds
26,Jamestown,US,42.097,-79.2353,54.3,85,90,1.01,overcast clouds
27,Busselton,AU,-33.65,115.3333,44.04,89,94,5.28,overcast clouds
28,Nizhnyaya Tavda,RU,57.6731,66.1725,27.45,89,95,10.76,overcast clouds
29,Bluff,NZ,-46.6,168.3333,51.53,90,95,25.84,light rain
30,Manduria,IT,40.4018,17.6335,60.31,74,0,2.51,clear sky
31,Galle,LK,6.0367,80.217,77.14,89,86,2.46,overcast clouds
32,Saskylakh,RU,71.9167,114.0833,11.86,92,100,12.12,overcast clouds
33,Sisimiut,GL,66.9395,-53.6735,35.35,97,100,38.23,light rain
34,Broome,US,42.2506,-75.833,57.02,77,90,4.0,overcast clouds
35,Itaqui,BR,-29.1253,-56.5531,72.72,85,74,7.58,broken clouds
36,Conde,BR,-7.2597,-34.9075,78.26,73,0,13.8,clear sky
37,Yamandu,SL,7.9362,-11.4928,72.5,99,97,1.54,light rain
38,Saquarema,BR,-22.92,-42.5103,73.42,90,100,12.5,overcast clouds
39,Wewak,PG,-3.5534,143.6268,81.3,83,51,4.29,broken clouds
40,Spanish Town,JM,17.9911,-76.9574,85.62,72,20,12.66,few clouds
41,Lebu,CL,-37.6167,-73.65,54.27,77,100,14.5,overcast clouds
42,Shirokiy,RU,49.758,129.523,24.13,52,0,8.25,clear sky
43,Puerto Ayora,EC,-0.7393,-90.3518,78.76,82,96,9.57,overcast clouds
44,Kavaratti,IN,10.5669,72.642,81.68,72,81,2.13,broken clouds
45,Aksarka,RU,66.5606,67.7975,-3.48,93,18,5.41,few clouds
46,Maine-Soroa,NE,13.2114,12.0241,85.51,13,31,8.32,scattered clouds
47,Carnarvon,AU,-24.8667,113.6333,64.47,72,0,14.97,clear sky
48,Sokolo,ML,14.7328,-6.1219,87.31,24,49,6.71,scattered clouds
49,Tonantins,BR,-2.8731,-67.8022,80.22,83,91,0.4,light rain
50,Hami,CN,42.8,93.45,49.68,45,100,1.86,overcast clouds
51,Chokurdakh,RU,70.6333,147.9167,1.71,97,99,6.24,overcast clouds
52,Staryy Nadym,RU,65.6118,72.6842,12.27,91,100,19.08,overcast clouds
53,Kochki,RU,54.3358,80.4806,30.04,97,100,11.79,light snow
54,Daoukro,CI,7.0591,-3.9631,72.66,95,100,3.0,overcast clouds
55,Davila,PH,18.4726,120.5763,71.58,76,7,14.52,clear sky
56,Hithadhoo,MV,-0.6,73.0833,82.85,75,100,20.67,overcast clouds
57,Albany,US,42.6001,-73.9662,57.78,90,93,3.33,overcast clouds
58,Bay Roberts,CA,47.5999,-53.2648,43.14,88,0,5.99,clear sky
59,Kapaa,US,22.0752,-159.319,82.18,83,20,4.0,few clouds
60,Ngunguru,NZ,-35.6167,174.5,64.17,75,100,8.77,light rain
61,Broken Hill,AU,-31.95,141.4333,55.11,35,96,8.05,overcast clouds
62,Upernavik,GL,72.7868,-56.1549,27.77,58,100,8.1,overcast clouds
63,Capaci,IT,38.1711,13.2393,64.26,91,0,2.3,clear sky
64,Cidreira,BR,-30.1811,-50.2056,67.73,88,26,23.29,scattered clouds
65,Port Hedland,AU,-20.3167,118.5667,68.05,94,0,5.75,clear sky
66,Ahipara,NZ,-35.1667,173.1667,61.77,85,100,7.94,light rain
67,Port Alfred,ZA,-33.5906,26.891,65.41,83,84,5.44,broken clouds
68,Tiksi,RU,71.6872,128.8694,0.37,94,97,8.99,overcast clouds
69,Cape Town,ZA,-33.9258,18.4232,63.09,80,0,1.99,clear sky
70,Portland,US,45.5234,-122.6762,63.61,40,0,5.99,clear sky
71,Ancud,CL,-41.8697,-73.8203,62.13,54,0,2.91,clear sky
72,Raudeberg,NO,61.9875,5.1352,50.67,69,100,7.0,light rain
73,Bambanglipuro,ID,-7.95,110.2833,76.95,91,90,3.96,overcast clouds
74,Yellowknife,CA,62.456,-114.3525,29.41,86,75,5.99,broken clouds
75,Butaritari,KI,3.0707,172.7902,82.38,73,24,6.2,few clouds
76,Saint-Philippe,RE,-21.3585,55.7679,69.39,80,80,3.13,broken clouds
77,Talcahuano,CL,-36.7167,-73.1167,64.08,63,0,11.5,clear sky
78,Cullinan,ZA,-25.6709,28.5236,63.82,33,0,10.54,clear sky
79,Thinadhoo,MV,0.5333,72.9333,82.76,75,68,18.25,broken clouds
80,Awjilah,LY,29.1081,21.2869,66.76,51,0,1.79,clear sky
81,Juazeiro,BR,-9.4117,-40.4986,89.78,27,0,6.91,clear sky
82,Mar Del Plata,AR,-38.0023,-57.5575,60.1,82,75,8.99,broken clouds
83,Barra,BR,-11.0894,-43.1417,84.92,40,39,3.87,scattered clouds
84,Chaman,PK,30.9236,66.4512,55.78,29,0,5.55,clear sky
85,Poya,NC,-21.35,165.15,79.29,58,3,0.76,clear sky
86,Ust-Maya,RU,60.4167,134.5333,-7.31,100,63,0.67,broken clouds
87,Toyoshina,JP,36.2999,137.9011,52.3,86,84,2.06,moderate rain
88,Narnaul,IN,28.0444,76.1083,69.55,30,0,2.86,clear sky
89,Sinnamary,GF,5.3833,-52.95,79.47,81,16,6.22,few clouds
90,Mercedes,AR,-34.6515,-59.4307,86.85,39,6,10.51,clear sky
91,Eyl,SO,7.9803,49.8164,76.98,81,82,10.22,light rain
92,Monrovia,LR,6.3005,-10.7969,76.77,87,98,3.4,moderate rain
93,Bondoukou,CI,8.0333,-2.8,74.17,83,87,2.39,overcast clouds
94,Maceio,BR,-9.6658,-35.7353,78.24,83,0,6.91,clear sky
95,Pitsunda,GE,43.1592,40.3378,56.71,56,2,3.96,clear sky
96,Emerald,AU,-23.5333,148.1667,82.98,20,29,18.41,scattered clouds
97,Bhuj,IN,23.2667,69.6667,75.04,29,54,3.4,broken clouds
98,Norman Wells,CA,65.282,-126.8329,19.44,93,90,3.44,fog
99,Cururupu,BR,-1.8283,-44.8683,75.76,88,26,3.18,scattered clouds
100,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,78,40,10.8,scattered clouds
101,Hilo,US,19.7297,-155.09,81.25,72,1,8.05,clear sky
102,Samarai,PG,-10.6167,150.6667,82.99,78,99,14.2,moderate rain
103,Kaitangata,NZ,-46.2817,169.8464,60.3,54,98,10.69,overcast clouds
104,Filotion,GR,37.05,25.5,61.56,75,19,1.99,few clouds
105,Araruna,BR,-6.5583,-35.7417,71.35,74,37,13.42,scattered clouds
106,Porto Torres,IT,40.835,8.3972,62.78,84,100,12.26,overcast clouds
107,Srednekolymsk,RU,67.45,153.6833,-6.77,97,100,5.55,overcast clouds
108,Guerrero Negro,MX,27.9769,-114.0611,74.68,52,0,12.62,clear sky
109,Tacuarembo,UY,-31.7333,-55.9833,74.55,76,50,7.36,scattered clouds
110,Kukmor,RU,56.1855,50.8944,43.36,96,100,8.1,overcast clouds
111,Punta Arenas,CL,-53.15,-70.9167,53.71,40,0,17.27,clear sky
112,Biberach,DE,48.0934,9.7905,49.89,97,94,1.14,overcast clouds
113,Rudbar,AF,30.15,62.6,66.11,25,3,6.44,clear sky
114,Kampene,CD,-3.6,26.6667,68.07,98,100,1.81,light rain
115,Boende,CD,-0.2167,20.8667,72.79,87,88,2.08,light rain
116,Atuona,PF,-9.8,-139.0333,78.01,65,5,14.79,clear sky
117,Riyadh,SA,24.6877,46.7219,73.54,40,21,5.66,few clouds
118,Takoradi,GH,4.8845,-1.7554,78.31,87,91,8.86,overcast clouds
119,Manyana,BW,-23.4,21.7167,71.06,19,0,10.42,clear sky
120,Niquelandia,BR,-14.4739,-48.4597,78.53,61,80,1.3,broken clouds
121,Cabo San Lucas,MX,22.8909,-109.9124,88.61,70,17,11.86,few clouds
122,Awbari,LY,26.5921,12.7805,70.0,29,0,5.75,clear sky
123,Pevek,RU,69.7008,170.3133,-3.03,96,100,10.63,overcast clouds
124,Mazagao,BR,-0.115,-51.2894,84.25,77,25,3.96,scattered clouds
125,Dandong,CN,40.1292,124.3947,52.3,87,100,3.94,overcast clouds
126,East Haddam,US,41.4532,-72.4612,59.7,97,90,0.0,moderate rain
127,Baruun-Urt,MN,46.6806,113.2792,20.52,39,18,2.98,few clouds
128,Vardo,NO,70.3705,31.1107,39.11,71,96,9.33,overcast clouds
129,Paciran,ID,-6.8767,112.3761,79.95,82,91,3.65,overcast clouds
130,Nome,US,64.5011,-165.4064,9.16,86,92,6.38,overcast clouds
131,Dakar,SN,14.6937,-17.4441,80.73,83,0,0.0,clear sky
132,Lipovtsy,RU,44.2014,131.7244,39.47,73,99,4.5,overcast clouds
133,Nishihara,JP,26.1842,127.7558,70.88,78,20,4.61,few clouds
134,Quatre Cocos,MU,-20.2078,57.7625,70.09,78,33,6.24,scattered clouds
135,Boysun,UZ,38.2061,67.1986,48.06,18,100,5.41,overcast clouds
136,Puerto Escondido,MX,15.85,-97.0667,83.34,75,84,5.53,broken clouds
137,Souillac,MU,-20.5167,57.5167,70.36,88,20,5.75,few clouds
138,Nouakchott,MR,18.0858,-15.9785,78.73,64,98,8.1,overcast clouds
139,Baoro,CF,5.6667,15.9667,69.73,86,38,1.74,scattered clouds
140,Zhuhai,CN,22.2769,113.5678,75.06,88,40,12.66,scattered clouds
141,Bada,RU,51.392,109.8717,26.24,50,20,3.47,few clouds
142,Qaanaaq,GL,77.484,-69.3632,2.73,53,0,8.55,clear sky
143,Husavik,IS,66.0449,-17.3389,39.11,89,100,17.78,overcast clouds
144,Agbor,NG,6.2518,6.1934,74.82,98,94,3.38,overcast clouds
145,Kavieng,PG,-2.5744,150.7967,83.37,76,63,13.49,light rain
146,East London,ZA,-33.0153,27.9116,64.53,84,80,6.85,broken clouds
147,Mahebourg,MU,-20.4081,57.7,70.25,88,20,5.75,few clouds
148,Airai,TL,-8.9266,125.4092,63.64,85,29,0.72,scattered clouds
149,Cabedelo,BR,-6.9811,-34.8339,79.47,71,11,16.22,few clouds
150,Beringovskiy,RU,63.05,179.3167,6.84,96,98,19.08,overcast clouds
151,Arlit,NE,18.7369,7.3853,83.03,19,34,11.79,scattered clouds
152,Tazovskiy,RU,67.4667,78.7,8.65,94,100,14.72,light snow
